ID,Match #,Batting_Runs,Batting_Mins,Balls Faced,4s,6s,SR,Batting_Pos,Batting_Dismissal,Batting_Inns,Overs,Mdns,Bowling_Runs,Wkts,Bowling_Econ,Bowling_Pos,Bowling_Inns,Catch Taken,Inns,Opposition,Ground,Start Date,
481,ODI # 1852,19,35,25,3,0,76,4,caught,2,5,0,18,0,3.6,5,1,0,1,ODI v Sri Lanka,Birmingham,06-Jul-02,19
482,ODI # 1854,36,60,29,5,0,124.13,4,caught,2,1,0,9,0,9,8,1,0,1,ODI v England,The Oval,09-Jul-02,36
483,ODI # 1855,113,141,102,12,1,110.78,4,caught,1,-1,-,-,-,-,-,2,0,2,ODI v Sri Lanka,Bristol,11-Jul-02,113
484,ODI # 1856,14,31,19,1,0,73.68,4,bowled,2,-1,-,-,-,-,-,1,0,1,ODI v England,Lord's,13-Jul-02,14
485,Test # 1610,16,94,61,2,0,26.22,5,caught,2,-1,-,-,-,-,-,1,0,1,Test v England,Lord's,25-Jul-02,16
486,Test # 1610,12,51,35,2,0,34.28,4,bowled,4,2,0,14,0,7,5,3,1,3,Test v England,Lord's,25-Jul-02,12
487,Test # 1612,34,90,68,6,0,50,4,bowled,1,6,0,15,0,2.5,6,2,0,2,Test v England,Nottingham,08-Aug-02,34
488,Test # 1612,92,160,113,17,0,81.41,4,bowled,3,-1,-,-,-,-,-,4,0,4,Test v England,Nottingham,08-Aug-02,92
489,Test # 1613,193,434,330,19,3,58.48,4,lbw,1,-1,-,-,-,-,-,2,0,2,Test v England,Leeds,22-Aug-02,193
490,Test # 1613,-1,-,-,-,-,-,-,-,3,-1,-,-,-,-,-,3,0,3,Test v England,Leeds,22-Aug-02,-1
491,Test # 1614,54,114,89,10,0,60.67,4,lbw,2,2,0,4,0,2,7,1,0,1,Test v England,The Oval,05-Sep-02,54
492,Test # 1614,-1,-,-,-,-,-,-,-,4,-1,-,-,-,-,-,3,0,3,Test v England,The Oval,05-Sep-02,-1
493,ODI # 1876,7,39,16,0,0,43.75,4,caught,1,7,0,41,2,5.85,6,2,0,2,ODI v Zimbabwe,Colombo (RPS),14-Sep-02,7
494,ODI # 1884,9,34,20,0,0,45,4,not out,2,2,0,13,1,6.5,6,1,0,1,ODI v England,Colombo (RPS),22-Sep-02,9
495,ODI # 1886,16,39,29,1,0,55.17,4,run out,1,4,0,32,0,8,7,2,0,2,ODI v South Africa,Colombo (RPS),25-Sep-02,16
496,ODI # 1888,-1,-,-,-,-,-,-,-,2,6,0,36,1,6,6,1,1,1,ODI v Sri Lanka,Colombo (RPS),29-Sep-02,-1
497,ODI # 1889,7,33,22,1,0,31.81,3,not out,2,8,0,36,0,4.5,6,1,0,1,ODI v Sri Lanka,Colombo (RPS),30-Sep-02,7
498,Test # 1616,35,96,88,5,0,39.77,4,caught,1,-1,-,-,-,-,-,2,0,2,Test v West Indies,Wankhede,09-Oct-02,35
499,Test # 1616,-1,-,-,-,-,-,-,-,3,1,0,2,0,2,6,3,1,3,Test v West Indies,Wankhede,09-Oct-02,-1
500,Test # 1618,43,156,113,5,0,38.05,4,bowled,2,-1,-,-,-,-,-,1,1,1,Test v West Indies,Chennai,17-Oct-02,43
501,Test # 1618,16,15,20,0,0,80,4,not out,4,-1,-,-,-,-,-,3,0,3,Test v West Indies,Chennai,17-Oct-02,16
